season,round,location
1950,1,Great Britain
1950,2,Monaco
1950,3,Indianapolis 500
1950,4,Switzerland
1950,5,Belgium
1950,6,France
1950,7,Italy
1951,1,Switzerland
1951,2,Indianapolis 500
1951,3,Belgium
1951,4,France
1951,5,Great Britain
1951,6,Germany
1951,7,Italy
1951,8,Spain
1952,1,Switzerland
1952,2,Indianapolis 500
1952,3,Belgium
1952,4,France
1952,5,Great Britain
1952,6,Germany
1952,7,Netherlands
1952,8,Italy
1953,1,Argentina
1953,2,Indianapolis 500
1953,3,Netherlands
1953,4,Belgium
1953,5,France
1953,6,Great Britain
1953,7,Germany
1953,8,Switzerland
1953,9,Italy
1954,1,Argentina
1954,2,Indianapolis 500
1954,3,Belgium
1954,4,France
1954,5,Great Britain
1954,6,Germany
1954,7,Switzerland
1954,8,Italy
1954,9,Spain
1955,1,Argentina
1955,2,Monaco
1955,3,Indianapolis 500
1955,4,Belgium
1955,5,Netherlands
1955,6,Great Britain
1955,7,Italy
1956,1,Argentina
1956,2,Monaco
1956,3,Indianapolis 500
1956,4,Belgium
1956,5,France
1956,6,Great Britain
1956,7,Germany
1956,8,Italy
1957,1,Argentina
1957,2,Monaco
1957,3,Indianapolis 500
1957,4,France
1957,5,Great Britain
1957,6,Germany
1957,7,Pescara
1957,8,Italy
1958,1,Argentina
1958,2,Monaco
1958,3,Netherlands
1958,4,Indianapolis 500
1958,5,Belgium
1958,6,France
1958,7,Great Britain
1958,8,Germany
1958,9,Portugal
1958,10,Italy
1958,11,Morocco
1959,1,Monaco
1959,2,Indianapolis 500
1959,3,Netherlands
1959,4,France
1959,5,Great Britain
1959,6,Germany
1959,7,Portugal
1959,8,Italy
1959,9,United States
1960,1,Argentina
1960,2,Monaco
1960,3,Indianapolis 500
1960,4,Netherlands
1960,5,Belgium
1960,6,France
1960,7,Great Britain
1960,8,Portugal
1960,9,Italy
1960,10,United States
1961,1,Monaco
1961,2,Netherlands
1961,3,Belgium
1961,4,France
1961,5,Great Britain
1961,6,Germany
1961,7,Italy
1961,8,United States
1962,1,Netherlands
1962,2,Monaco
1962,3,Belgium
1962,4,France
1962,5,Great Britain
1962,6,Germany
1962,7,Italy
1962,8,United States
1962,9,South Africa
1963,1,Monaco
1963,2,Belgium
1963,3,Netherlands
1963,4,France
1963,5,Great Britain
1963,6,Germany
1963,7,Italy
1963,8,United States
1963,9,Mexico
1963,10,South Africa
1964,1,Monaco
1964,2,Netherlands
1964,3,Belgium
1964,4,France
1964,5,Great Britain
1964,6,Germany
1964,7,Austria
1964,8,Italy
1964,9,United States
1964,10,Mexico
1965,1,South Africa
1965,2,Monaco
1965,3,Belgium
1965,4,France
1965,5,Great Britain
1965,6,Netherlands
1965,7,Germany
1965,8,Italy
1965,9,United States
1965,10,Mexico
1966,1,Monaco
1966,2,Belgium
1966,3,France
1966,4,Great Britain
1966,5,Netherlands
1966,6,Germany
1966,7,Italy
1966,8,United States
1966,9,Mexico
1967,1,South Africa
1967,2,Monaco
1967,3,Netherlands
1967,4,Belgium
1967,5,France
1967,6,Great Britain
1967,7,Germany
1967,8,Canada
1967,9,Italy
1967,10,United States
1967,11,Mexico
1968,1,South Africa
1968,2,Spain
1968,3,Monaco
1968,4,Belgium
1968,5,Netherlands
1968,6,France
1968,7,Great Britain
1968,8,Germany
1968,9,Italy
1968,10,Canada
1968,11,United States
1968,12,Mexico
1969,1,South Africa
1969,2,Spain
1969,3,Monaco
1969,4,Netherlands
1969,5,France
1969,6,Great Britain
1969,7,Germany
1969,8,Italy
1969,9,Canada
1969,10,United States
1969,11,Mexico
1970,1,South Africa
1970,2,Spain
1970,3,Monaco
1970,4,Belgium
1970,5,Netherlands
1970,6,France
1970,7,Great Britain
1970,8,Germany
1970,9,Austria
1970,10,Italy
1970,11,Canada
1970,12,United States
1970,13,Mexico
1971,1,South Africa
1971,2,Spain
1971,3,Monaco
1971,4,Netherlands
1971,5,France
1971,6,Great Britain
1971,7,Germany
1971,8,Austria
1971,9,Italy
1971,10,Canada
1971,11,United States
1972,1,Argentina
1972,2,South Africa
1972,3,Spain
1972,4,Monaco
1972,5,Belgium
1972,6,France
1972,7,Great Britain
1972,8,Germany
1972,9,Austria
1972,10,Italy
1972,11,Canada
1972,12,United States
1973,1,Argentina
1973,2,Brazil
1973,3,South Africa
1973,4,Spain
1973,5,Belgium
1973,6,Monaco
1973,7,Sweden
1973,8,France
1973,9,Great Britain
1973,10,Netherlands
1973,11,Germany
1973,12,Austria
1973,13,Italy
1973,14,Canada
1973,15,United States
1974,1,Argentina
1974,2,Brazil
1974,3,South Africa
1974,4,Spain
1974,5,Belgium
1974,6,Monaco
1974,7,Sweden
1974,8,Netherlands
1974,9,France
1974,10,Great Britain
1974,11,Germany
1974,12,Austria
1974,13,Italy
1974,14,Canada
1974,15,United States
1975,1,Argentina
1975,2,Brazil
1975,3,South Africa
1975,4,Spain
1975,5,Monaco
1975,6,Belgium
1975,7,Sweden
1975,8,Netherlands
1975,9,France
1975,10,Great Britain
1975,11,Germany
1975,12,Austria
1975,13,Italy
1975,14,United States
1976,1,Brazil
1976,2,South Africa
1976,3,USA West
1976,4,Spain
1976,5,Belgium
1976,6,Monaco
1976,7,Sweden
1976,8,France
1976,9,Great Britain
1976,10,Germany
1976,11,Austria
1976,12,Netherlands
1976,13,Italy
1976,14,Canada
1976,15,USA East
